"Sample","Days","eCO2mean","eCO2sd"
"AK_T25",1.15601851851852,0.0277780268338887,0.0245057079333781
"AK_T25",2.03449074074074,0.719282564617987,0.0607640100669057
"AK_T25",4.96157407407407,2.06157264777962,0.27217659249839
"AK_T25",6.01712962962963,1.83912852534761,0.125245666751451
"AK_T25",7.03796296296296,2.79084379741546,0.0796245291387813
"AK_T25",8.01365740740741,2.67025926226335,0.0624738501687396
"AK_T25",9.02060185185185,3.25393027352365,0.121358362124487
"AK_T25",12.0219907407407,3.87829730899174,0.0806937794408614
"AK_T25",13.0574074074074,4.16129834125508,0.32775731724552
"AK_T25",13.9740740740741,4.83147131226128,0.0639882983812262
"AK_T25",14.9525462962963,4.61616507571551,0.288140734930278
"AK_T25",15.9525462962963,5.13749850718396,0.276771243725037
"AK_T25",19.0032407407407,5.95377256441306,0.228550272927951
"AK_T25",19.9685185185185,5.91393741365973,0.539092323074695
"AK_T25",20.9518518518519,5.94829695445491,0.387386466306125
"AK_T25",21.9650462962963,5.81102598536745,0.0190960932009521
"AK_T25",22.9219907407407,5.75313320451491,0.273559017296657
"AK_T25",26.012962962963,6.02526731239607,0.377807696748102
"AK_T25",27.050462962963,6.68894423430123,0.263325337472195
"AK_T25",27.9310185185185,6.57366504262456,0.317981054079
"AK_T25",28.9386574074074,6.27822369172602,0.434393528491771
"AK_T25",29.9386574074074,6.80503239142778,0.150369295805505
"AK_T25",39.9636574074074,8.22979270757457,0.225610624506558
"AK_T25",40.9372685185185,7.75007806202788,0.187194783831988
"AK_T25",41.9726851851852,7.63721799990632,0.0561391606236432
"HN_T35",0.999305555555556,2.16812784797544,0.582603951707322
"HN_T35",1.88472222222222,4.65668399192826,0.236885839178656
"HN_T35",4.84305555555556,8.92677895027493,0.209781880184276
"HN_T35",5.89513888888889,10.5745554262092,0.241325096991614
"HN_T35",6.91597222222222,12.0821335561302,0.584661389641263
"HN_T35",7.88958333333333,13.0309304959514,0.592660106513853
"HN_T35",8.9,13.6263620904265,0.337131663313142
"HN_T35",11.8986111111111,14.8496736082496,0.267837961910347
"HN_T35",12.9333333333333,14.0441475915823,0.662484274596089
"HN_T35",13.85,16.9314469117281,1.10102987635727
"HN_T35",14.8291666666667,17.5510585327337,0.0511268846817984
"HN_T35",15.8291666666667,18.461623952339,0.0951629933009712
"HN_T35",18.8805555555556,21.0288386692087,0.354281547606383
"HN_T35",19.84375,21.2968149359895,0.188562737177188
"HN_T35",20.83125,22.4507366992267,0.148510371459438
"HN_T35",21.8423611111111,22.5375837927796,0.00734461858670767
"HN_T35",22.7993055555556,22.7523809599993,0.252745823072685
"HN_T35",25.8895833333333,23.1752810659158,0.00283093027262345
"HN_T35",26.9277777777778,25.0822549838444,0.227005875574447
"HN_T35",27.8090277777778,25.8514922410144,0.826152384820178
"HN_T35",28.8159722222222,27.1975161026625,0.846307124883373
"HN_T35",29.8159722222222,27.3777635673517,0.828712550945573
"HN_T35",39.8409722222222,32.5226113108925,0.717765090770913
"HN_T35",40.8152777777778,33.0580914154378,1.80292085889622
"HN_T35",41.8513888888889,33.6709591943402,0.854783584529588
